source,target,dist_type
Gedung A FILKOM UB,FILKOM_P13,pca
Gedung A FILKOM UB,FILKOM_P16,pca
Gedung A FILKOM UB,FILKOM_P17,pca
Gedung A FILKOM UB,FILKOM_P18,pca
Gedung F FILKOM UB,FILKOM_P21,pca
Gedung F FILKOM UB,Junction FILKOM UB,pca
Gedung G FILKOM UB,Junction FILKOM UB,pca
Gedung G FILKOM UB,FILKOM_P5,pca
Gedung G FILKOM UB,FILKOM_P36,pca
Gerbang BNI,JLGOR_T1,trotoar
Gerbang Pandjaitan,JLGOR_T24,trotoar
Gerbang Soehat,JLUB_T13,trotoar
Gerbang Veteran,FKG_P1,pca
GKM FILKOM UB,FILKOM_P3,pca
GKM FILKOM UB,FILKOM_P28,pca
GKM FILKOM UB,FILKOM_P32,pca
GKM FILKOM UB,FILKOM_P35,pca
GOR Pertamina,GOR_P2,pca
GOR Pertamina,JLCL_T1,pca
Griya Brawijaya,GRIYA_P3,pca
Griya Brawijaya,JLGOR_T13,pca
Griya Brawijaya,JLGOR_T14,pca
Junction FILKOM UB,FILKOM_P1,pca
Junction FILKOM UB,FILKOM_P15,pca
Junction FILKOM UB,FILKOM_P31,pca
Kantin CL,JLCL_P7,pca
Kantin CL,JLCL_P9,pca
Masjid Raden Patah,JLGOR_T18,pca
Masjid Raden Patah,JLMRP_T3,pca
Masjid Raden Patah,MRP_P1,pca
Perpustakaan UB,PERPUS_P7,pca
Rusunawa UB,RUSUN_P3,pca
Samantha Krida,SAKRI_P1,pca
CL_P1,CL_P2,pca
CL_P1,JLCL_P4,pca
CL_P2,JLCL_P8,pca
CL_P2,SAKRI_P2,pca
FILKOM_P1,FILKOM_P31,pca
FILKOM_P1,FILKOM_P34,pca
FILKOM_P2,FILKOM_P3,pca
FILKOM_P2,FILKOM_P4,pca
FILKOM_P2,FILKOM_P33,pca
FILKOM_P3,FKG_P5,pca
FILKOM_P4,FILKOM_P32,pca
FILKOM_P4,FILKOM_P33,pca
FILKOM_P4,FILKOM_P34,pca
FILKOM_P5,JLGOR_T5,pca
FILKOM_P5,JLGOR_T6,pca
FILKOM_P5,JLGOR_T7,pca
FILKOM_P6,FILKOM_P7,pca
FILKOM_P6,JLGOR_T7,pca
FILKOM_P7,FILKOM_P16,pca
FILKOM_P7,FILKOM_P17,pca
FILKOM_P8,FILKOM_P9,pca
FILKOM_P8,FILKOM_P11,pca
FILKOM_P8,FILKOM_P16,pca
FILKOM_P9,FILKOM_P10,pca
FILKOM_P9,FTP_P1,pca
FILKOM_P10,FILKOM_P11,pca
FILKOM_P11,FILKOM_P12,pca
FILKOM_P12,FILKOM_P13,pca
FILKOM_P13,FILKOM_P14,pca
FILKOM_P14,FILKOM_P18,pca
FILKOM_P14,FILKOM_P22,pca
FILKOM_P15,FILKOM_P36,pca
FILKOM_P15,FILKOM_P18,pca
FILKOM_P15,FILKOM_P21,pca
FILKOM_P17,FILKOM_P36,pca
FILKOM_P19,FILKOM_P20,pca
FILKOM_P19,FILKOM_P30,pca
FILKOM_P19,JLUB_T4,pca
FILKOM_P19,JLUB_T6,pca
FILKOM_P20,FILKOM_P24,pca
FILKOM_P20,FILKOM_P30,pca
FILKOM_P20,JLUB_T4,pca
FILKOM_P21,FILKOM_P22,pca
FILKOM_P21,JLUB_T6,pca
FILKOM_P22,FILKOM_P23,pca
FILKOM_P22,JLUB_T6,pca
FILKOM_P22,JLUB_T7,pca
FILKOM_P23,FTP_P2,pca
FILKOM_P23,JLUB_T7,pca
FILKOM_P24,FILKOM_P25,pca
FILKOM_P24,JLUB_T20,pca
FILKOM_P25,FILKOM_P26,pca
FILKOM_P26,FILKOM_P27,pca
FILKOM_P27,FILKOM_P28,pca
FILKOM_P27,FILKOM_P35,pca
FILKOM_P28,FILKOM_P29,pca
FILKOM_P29,FILKOM_P31,pca
FILKOM_P29,FILKOM_P32,pca
FILKOM_P30,FILKOM_P31,pca
FILKOM_P32,FILKOM_P34,pca
FILKOM_P33,FILKOM_P34,pca
FILKOM_P33,FKG_P9,pca
FKG_P1,JLUB_T1,trotoar
FKG_P1,FKG_P2,pca
FKG_P2,FKG_P3,pca
FKG_P3,FKG_P6,pca
FKG_P3,FKG_P7,pca
FKG_P4,FKG_P5,pca
FKG_P4,FKG_P6,pca
FKG_P6,JLUB_T5,pca
FKG_P7,FKG_P8,pca
FKG_P7,FKG_P13,pca
FKG_P8,FKG_P9,pca
FKG_P8,FKG_P11,pca
FKG_P9,FKG_P10,pca
FKG_P10,FKG_P11,pca
FKG_P10,JLGOR_T4,pca
FKG_P11,FKG_P12,pca
FKG_P12,FKG_P13,pca
FKG_P13,JLGOR_T1,pca
FKG_P13,JLGOR_T2,pca
FTP_P1,JLSKRI_T5,pca
FTP_P2,JLSKRI_T1,pca
FTP_P2,JLSKRI_T7,pca
FTP_P2,JLUB_T8,pca
FTP_P3,JLFTP_P4,pca
FTP_P3,JLGOR_T16,pca
FTP_P3,JLMRP_T4,cross
GOR_P1,GOR_P2,pca
GOR_P1,GOR_P3,pca
GOR_P1,GRIYA_P2,pca
GOR_P1,JLCL_P2,pca
GOR_P2,JLCL_T1,pca
GOR_P3,JLCL_P1,pca
GOR_P3,JLGOR_T15,pca
GRIYA_P1,GRIYA_P2,pca
GRIYA_P1,GRIYA_P3,pca
GRIYA_P2,JLGOR_T15,pca
GRIYA_P3,JLGOR_T13,pca
GRIYA_P3,JLGOR_T14,pca
MRP_P1,JLGOR_T19,pca
MRP_P1,JLUB_T11,pca
PERPUS_P1,PERPUS_P2,pca
PERPUS_P1,JLUB_T19,pca
PERPUS_P2,PERPUS_P3,pca
PERPUS_P2,JLUB_T17,pca
PERPUS_P3,PERPUS_P4,pca
PERPUS_P4,PERPUS_P5,pca
PERPUS_P5,PERPUS_P6,pca
PERPUS_P6,PERPUS_P7,pca
PERPUS_P6,JLSELREK_T1,pca
PERPUS_P7,JLSELREK_T2,pca
RUSUN_P1,RUSUN_P2,pca
RUSUN_P1,JLCL_T4,pca
RUSUN_P2,RUSUN_P3,pca
RUSUN_P3,RUSUN_P4,pca
RUSUN_P4,JLCL_P11,pca
SAKRI_P1,SAKRI_P2,pca
SAKRI_P1,JLCL_P1,pca
SAKRI_P2,SAKRI_P7,pca
SAKRI_P3,SAKRI_P4,pca
SAKRI_P3,SAKRI_P7,pca
SAKRI_P4,SAKRI_P5,pca
SAKRI_P5,SAKRI_P6,pca
SAKRI_P6,SAKRI_P9,pca
SAKRI_P7,SAKRI_P8,pca
SAKRI_P7,JLGOR_T25,cross
SAKRI_P8,JLGOR_T16,cross
SAKRI_P9,JLGOR_T17,pca
JLCL_P1,JLCL_P2,pca
JLCL_P2,JLCL_P3,pca
JLCL_P3,JLCL_P4,pca
JLCL_P3,JLCL_T1,cross
JLCL_P4,JLCL_P5,pca
JLCL_P5,JLCL_P6,cross
JLCL_P5,JLCL_P8,pca
JLCL_P5,JLCL_T2,cross
JLCL_P6,JLCL_P7,pca
JLCL_P6,JLCL_P9,pca
JLCL_P6,JLCL_T2,pca
JLCL_P7,JLCL_P9,pca
JLCL_P8,JLCL_P9,cross
JLCL_P8,JLCL_P10,pca
JLCL_P9,JLCL_P12,pca
JLCL_P10,JLCL_P12,cross
JLCL_P10,JLCL_P13,cross
JLCL_P10,JLCL_T3,trotoar
JLCL_P11,JLCL_P13,pca
JLCL_P11,JLCL_T3,cross
JLCL_P11,JLCL_T6,cross
JLCL_P12,JLCL_P13,cross
JLFTP_P1,JLFTP_P2,cross
JLFTP_P1,JLFTP_P3,pca
JLFTP_P1,JLFTP_P5,pca
JLFTP_P1,JLUB_T21,pca
JLFTP_P2,JLFTP_P4,pca
JLFTP_P2,JLSKRI_T4,pca
JLFTP_P3,JLFTP_P4,cross
JLFTP_P3,JLUB_T9,pca
JLFTP_P4,JLMRP_T2,cross
JLFTP_P5,JLSKRI_T2,pca
JLFTP_P5,JLSKRI_T4,cross
BUND_T1,BUND_T2,trotoar
BUND_T1,JLSKRI_T2,trotoar
BUND_T2,BUND_T3,trotoar
BUND_T3,BUND_T4,trotoar
BUND_T4,JLUB_T21,trotoar
JLCL_T1,JLCL_T2,trotoar
JLCL_T3,JLGOR_T20,trotoar
JLCL_T4,JLCL_T5,trotoar
JLCL_T4,JLCL_T6,trotoar
JLCL_T5,JLGOR_T20,cross
JLCL_T5,JLGOR_T23,trotoar
JLGOR_T1,JLGOR_T2,trotoar
JLGOR_T2,JLGOR_T3,trotoar
JLGOR_T3,JLGOR_T4,trotoar
JLGOR_T4,JLGOR_T5,trotoar
JLGOR_T5,JLGOR_T6,trotoar
JLGOR_T6,JLGOR_T7,trotoar
JLGOR_T7,JLGOR_T8,trotoar
JLGOR_T7,JLGOR_T13,cross
JLGOR_T8,JLGOR_T9,trotoar
JLGOR_T8,JLGOR_T14,cross
JLGOR_T9,JLGOR_T10,trotoar
JLGOR_T9,JLGOR_T15,cross
JLGOR_T10,JLGOR_T11,trotoar
JLGOR_T11,JLGOR_T12,trotoar
JLGOR_T12,JLSKRI_T5,trotoar
JLGOR_T13,JLGOR_T14,trotoar
JLGOR_T14,JLGOR_T15,trotoar
JLGOR_T16,JLGOR_T25,trotoar
JLGOR_T17,JLGOR_T20,trotoar
JLGOR_T17,JLMRP_T4,cross
JLGOR_T18,JLGOR_T19,trotoar
JLGOR_T18,JLMRP_T4,trotoar
JLGOR_T19,JLGOR_T20,cross
JLGOR_T19,JLGOR_T21,trotoar
JLGOR_T21,JLGOR_T22,trotoar
JLGOR_T22,JLUB_T12,pca
JLGOR_T23,JLGOR_T24,trotoar
JLGOR_T25,JLSKRI_T6,pca
JLMRP_T1,JLMRP_T2,trotoar
JLMRP_T1,JLUB_T10,trotoar
JLMRP_T1,JLUB_T9,cross
JLMRP_T2,JLMRP_T3,trotoar
JLMRP_T3,JLMRP_T4,trotoar
JLSELREK_T1,JLSELREK_T2,trotoar
JLSELREK_T2,JLUB_T18,trotoar
JLSKRI_T1,JLSKRI_T2,cross
JLSKRI_T1,JLSKRI_T3,trotoar
JLSKRI_T1,JLSKRI_T7,trotoar
JLSKRI_T2,JLSKRI_T4,cross
JLSKRI_T3,JLSKRI_T4,cross
JLSKRI_T3,JLSKRI_T5,trotoar
JLSKRI_T4,JLSKRI_T6,trotoar
JLSKRI_T5,JLSKRI_T6,cross
JLSKRI_T7,JLUB_T8,trotoar
JLUB_T1,JLUB_T5,trotoar
JLUB_T2,JLUB_T3,trotoar
JLUB_T2,JLUB_T5,trotoar
JLUB_T3,JLUB_T14,cross
JLUB_T3,JLUB_T20,trotoar
JLUB_T4,JLUB_T6,trotoar
JLUB_T4,JLUB_T15,cross
JLUB_T4,JLUB_T20,trotoar
JLUB_T6,JLUB_T7,trotoar
JLUB_T6,JLUB_T16,cross
JLUB_T7,JLUB_T8,trotoar
JLUB_T7,JLUB_T17,cross
JLUB_T8,JLUB_T18,cross
JLUB_T9,JLUB_T21,trotoar
JLUB_T10,JLUB_T11,trotoar
JLUB_T11,JLUB_T12,trotoar
JLUB_T12,JLUB_T13,cross
JLUB_T14,JLUB_T15,trotoar
JLUB_T15,JLUB_T16,trotoar
JLUB_T16,JLUB_T19,trotoar
JLUB_T17,JLUB_T18,trotoar
JLUB_T17,JLUB_T19,trotoar